FID,NAME,STATE_NAME,STATE_FIPS,CNTY_FIPS,FIPS,Lat,Lon
0,Siskiyou,California,06,093,06093,41.588407248899998,-122.536498234000007
1,Del Norte,California,06,015,06015,41.740048676199997,-123.890021993000005
2,Modoc,California,06,049,06049,41.584344559800002,-120.720644331000003
3,Humboldt,California,06,023,06023,40.698998284100000,-123.863721345000002
4,Trinity,California,06,105,06105,40.647540811900001,-123.104017612000007
5,Shasta,California,06,089,06089,40.758401377200002,-122.036352491000002
6,Lassen,California,06,035,06035,40.669358113900003,-120.589873566999998
7,Tehama,California,06,103,06103,40.119855411800003,-122.224832402999994
8,Plumas,California,06,063,06063,40.002120627799997,-120.838647843000004
9,Butte,California,06,007,06007,39.662149771899998,-121.592903898000003
10,Mendocino,California,06,045,06045,39.437181088499997,-123.378752688999995
11,Glenn,California,06,021,06021,39.597036054400000,-122.382524830999998
12,Sierra,California,06,091,06091,39.577703487699999,-120.505322949999993
13,Yuba,California,06,115,06115,39.267272226599999,-121.341052473000005
14,Lake,California,06,033,06033,39.098129117600003,-122.746032958000001
15,Nevada,California,06,057,06057,39.296546085400003,-120.759455610000003
16,Colusa,California,06,011,06011,39.179136841300000,-122.232809634999995
17,Placer,California,06,061,06061,39.060267873000001,-120.710190737000005
18,Sutter,California,06,101,06101,39.033610223799997,-121.688200453999997
19,El Dorado,California,06,017,06017,38.775206296500002,-120.517522310999993
20,Yolo,California,06,113,06113,38.686941022299997,-121.897370050999996
21,Alpine,California,06,003,06003,38.594482708800001,-119.816969556999993
22,Napa,California,06,055,06055,38.507774224300000,-122.327411734999998
23,Sonoma,California,06,097,06097,38.528152516200002,-122.887805298999993
24,Sacramento,California,06,067,06067,38.465506578000003,-121.318426514999999
25,Mono,California,06,051,06051,37.933112502900002,-118.883647363999998
26,Amador,California,06,005,06005,38.442106702200000,-120.644671466000005
27,Calaveras,California,06,009,06009,38.201655430999999,-120.544721156999998
28,Tuolumne,California,06,109,06109,38.024700324199998,-119.947428701000007
29,Marin,California,06,041,06041,38.073054485599997,-122.720201149000005
30,San Joaquin,California,06,077,06077,37.934684454200003,-121.262807488000007
31,Solano,California,06,095,06095,38.289109690600000,-121.912689133000001
32,Contra Costa,California,06,013,06013,37.913225033600000,-121.911869632000005
33,Stanislaus,California,06,099,06099,37.555079030100003,-120.990890464000003
34,Alameda,California,06,001,06001,37.642753818199999,-121.877536589000002
35,Mariposa,California,06,043,06043,37.575745087500003,-119.898135359999998
36,San Francisco,California,06,075,06075,37.746700255699999,-122.430102558000002
37,Madera,California,06,039,06039,37.212987450000000,-119.746069383000005
38,San Mateo,California,06,081,06081,37.424398447100003,-122.322184672999995
39,Merced,California,06,047,06047,37.187026462900000,-120.704410069000005
40,Fresno,California,06,019,06019,36.754296703300000,-119.641138991000005
41,Santa Clara,California,06,085,06085,37.227319166100003,-121.683378097000002
42,Inyo,California,06,027,06027,36.508506155600003,-117.406486121000000
43,Santa Cruz,California,06,087,06087,37.054714207200000,-121.984778246999994
44,San Benito,California,06,069,06069,36.605841241100002,-121.061087009999994
45,Monterey,California,06,053,06053,36.217760009499997,-121.228574825999999
46,Tulare,California,06,107,06107,36.220677241200001,-118.793140976000004
47,Kings,California,06,031,06031,36.078519080600003,-119.803372988000007
48,Kern,California,06,029,06029,35.345271441500003,-118.730511323000002
49,San Bernardino,California,06,071,06071,34.843872591199997,-116.175992555999997
50,San Luis Obispo,California,06,079,06079,35.388837572000000,-120.400141313000006
51,Ventura,California,06,111,06111,34.472179870700003,-119.076108915000006
52,Riverside,California,06,065,06065,33.744374763000003,-115.994137550000005
53,Santa Barbara,California,06,083,06083,34.671971442999997,-120.012835812999995
54,Orange,California,06,059,06059,33.703985123400003,-117.756669290000005
55,San Diego,California,06,073,06073,33.036193658400002,-116.738694764000002
56,Los Angeles,California,06,037,06037,34.322099482399999,-118.222559806000007
57,Imperial,California,06,025,06025,33.039838029300000,-115.366352221000000